,tinh-tp,quan-huyen,phuong-xa
0,thành phố hà nội,quận ba đình,phường phúc xá
1,thành phố hà nội,quận ba đình,phường trúc bạch
2,thành phố hà nội,quận ba đình,phường vĩnh phúc
3,thành phố hà nội,quận ba đình,phường cống vị
4,thành phố hà nội,quận ba đình,phường liễu giai
5,thành phố hà nội,quận ba đình,phường nguyễn trung trực
6,thành phố hà nội,quận ba đình,phường quán thánh
7,thành phố hà nội,quận ba đình,phường ngọc hà
8,thành phố hà nội,quận ba đình,phường điện biên
9,thành phố hà nội,quận ba đình,phường đội cấn
10,thành phố hà nội,quận ba đình,phường ngọc khánh
11,thành phố hà nội,quận ba đình,phường kim mã
12,thành phố hà nội,quận ba đình,phường giảng võ
13,thành phố hà nội,quận ba đình,phường thành công
14,thành phố hà nội,quận hoàn kiếm,phường phúc tân
15,thành phố hà nội,quận hoàn kiếm,phường đồng xuân
16,thành phố hà nội,quận hoàn kiếm,phường hàng mã
17,thành phố hà nội,quận hoàn kiếm,phường hàng buồm
18,thành phố hà nội,quận hoàn kiếm,phường hàng đào
19,thành phố hà nội,quận hoàn kiếm,phường hàng bồ
20,thành phố hà nội,quận hoàn kiếm,phường cửa đông
21,thành phố hà nội,quận hoàn kiếm,phường lý thái tổ
22,thành phố hà nội,quận hoàn kiếm,phường hàng bạc
23,thành phố hà nội,quận hoàn kiếm,phường hàng gai
24,thành phố hà nội,quận hoàn kiếm,phường chương dương
25,thành phố hà nội,quận hoàn kiếm,phường hàng trống
26,thành phố hà nội,quận hoàn kiếm,phường cửa nam
27,thành phố hà nội,quận hoàn kiếm,phường hàng bông
28,thành phố hà nội,quận hoàn kiếm,phường tràng tiền
29,thành phố hà nội,quận hoàn kiếm,phường trần hưng đạo
30,thành phố hà nội,quận hoàn kiếm,phường phan chu trinh
31,thành phố hà nội,quận hoàn kiếm,phường hàng bài
32,thành phố hà nội,quận tây hồ,phường phú thượng
33,thành phố hà nội,quận tây hồ,phường nhật tân
34,thành phố hà nội,quận tây hồ,phường tứ liên
35,thành phố hà nội,quận tây hồ,phường quảng an
36,thành phố hà nội,quận tây hồ,phường xuân la
37,thành phố hà nội,quận tây hồ,phường yên phụ
38,thành phố hà nội,quận tây hồ,phường bưởi
39,thành phố hà nội,quận tây hồ,phường thụy khuê
40,thành phố hà nội,quận long biên,phường thượng thanh
41,thành phố hà nội,quận long biên,phường ngọc thụy
42,thành phố hà nội,quận long biên,phường giang biên
43,thành phố hà nội,quận long biên,phường đức giang
44,thành phố hà nội,quận long biên,phường việt hưng
45,thành phố hà nội,quận long biên,phường gia thụy
46,thành phố hà nội,quận long biên,phường ngọc lâm
47,thành phố hà nội,quận long biên,phường phúc lợi
48,thành phố hà nội,quận long biên,phường bồ đề
49,thành phố hà nội,quận long biên,phường sài đồng
50,thành phố hà nội,quận long biên,phường long biên
51,thành phố hà nội,quận long biên,phường thạch bàn
52,thành phố hà nội,quận long biên,phường phúc đồng
53,thành phố hà nội,quận long biên,phường cự khối
54,thành phố hà nội,quận cầu giấy,phường nghĩa đô
55,thành phố hà nội,quận cầu giấy,phường nghĩa tân
56,thành phố hà nội,quận cầu giấy,phường mai dịch
57,thành phố hà nội,quận cầu giấy,phường dịch vọng
58,thành phố hà nội,quận cầu giấy,phường dịch vọng hậu
59,thành phố hà nội,quận cầu giấy,phường quan hoa
60,thành phố hà nội,quận cầu giấy,phường yên hoà
61,thành phố hà nội,quận cầu giấy,phường trung hoà
62,thành phố hà nội,quận đống đa,phường cát linh
63,thành phố hà nội,quận đống đa,phường văn miếu
64,thành phố hà nội,quận đống đa,phường quốc tử giám
65,thành phố hà nội,quận đống đa,phường láng thượng
66,thành phố hà nội,quận đống đa,phường ô chợ dừa
67,thành phố hà nội,quận đống đa,phường văn chương
68,thành phố hà nội,quận đống đa,phường hàng bột
69,thành phố hà nội,quận đống đa,phường láng hạ
70,thành phố hà nội,quận đống đa,phường khâm thiên
71,thành phố hà nội,quận đống đa,phường thổ quan
72,thành phố hà nội,quận đống đa,phường nam đồng
73,thành phố hà nội,quận đống đa,phường trung phụng
74,thành phố hà nội,quận đống đa,phường quang trung
75,thành phố hà nội,quận đống đa,phường trung liệt
76,thành phố hà nội,quận đống đa,phường phương liên
77,thành phố hà nội,quận đống đa,phường thịnh quang
78,thành phố hà nội,quận đống đa,phường trung tự
79,thành phố hà nội,quận đống đa,phường kim liên
80,thành phố hà nội,quận đống đa,phường phương mai
81,thành phố hà nội,quận đống đa,phường ngã tư sở
82,thành phố hà nội,quận đống đa,phường khương thượng
83,thành phố hà nội,quận hai bà trưng,phường nguyễn du
84,thành phố hà nội,quận hai bà trưng,phường bạch đằng
85,thành phố hà nội,quận hai bà trưng,phường phạm đình hổ
86,thành phố hà nội,quận hai bà trưng,phường lê đại hành
87,thành phố hà nội,quận hai bà trưng,phường đồng nhân
88,thành phố hà nội,quận hai bà trưng,phường phố huế
89,thành phố hà nội,quận hai bà trưng,phường đống mác
90,thành phố hà nội,quận hai bà trưng,phường thanh lương
91,thành phố hà nội,quận hai bà trưng,phường thanh nhàn
92,thành phố hà nội,quận hai bà trưng,phường cầu dền
93,thành phố hà nội,quận hai bà trưng,phường bách khoa
94,thành phố hà nội,quận hai bà trưng,phường đồng tâm
95,thành phố hà nội,quận hai bà trưng,phường vĩnh tuy
96,thành phố hà nội,quận hai bà trưng,phường bạch mai
97,thành phố hà nội,quận hai bà trưng,phường quỳnh mai
98,thành phố hà nội,quận hai bà trưng,phường quỳnh lôi
99,thành phố hà nội,quận hai bà trưng,phường minh khai
100,thành phố hà nội,quận hai bà trưng,phường trương định
101,thành phố hà nội,quận hoàng mai,phường thanh trì
102,thành phố hà nội,quận hoàng mai,phường vĩnh hưng
103,thành phố hà nội,quận hoàng mai,phường định công
104,thành phố hà nội,quận hoàng mai,phường mai động
105,thành phố hà nội,quận hoàng mai,phường tương mai
106,thành phố hà nội,quận hoàng mai,phường đại kim
107,thành phố hà nội,quận hoàng mai,phường tân mai
108,thành phố hà nội,quận hoàng mai,phường hoàng văn thụ
109,thành phố hà nội,quận hoàng mai,phường giáp bát
110,thành phố hà nội,quận hoàng mai,phường lĩnh nam
111,thành phố hà nội,quận hoàng mai,phường thịnh liệt
112,thành phố hà nội,quận hoàng mai,phường trần phú
113,thành phố hà nội,quận hoàng mai,phường hoàng liệt
114,thành phố hà nội,quận hoàng mai,phường yên sở
115,thành phố hà nội,quận thanh xuân,phường nhân chính
116,thành phố hà nội,quận thanh xuân,phường thượng đình
117,thành phố hà nội,quận thanh xuân,phường khương trung
118,thành phố hà nội,quận thanh xuân,phường khương mai
119,thành phố hà nội,quận thanh xuân,phường thanh xuân trung
120,thành phố hà nội,quận thanh xuân,phường phương liệt
121,thành phố hà nội,quận thanh xuân,phường hạ đình
122,thành phố hà nội,quận thanh xuân,phường khương đình
123,thành phố hà nội,quận thanh xuân,phường thanh xuân bắc
124,thành phố hà nội,quận thanh xuân,phường thanh xuân nam
125,thành phố hà nội,quận thanh xuân,phường kim giang
126,thành phố hà nội,huyện sóc sơn,thị trấn sóc sơn
127,thành phố hà nội,huyện sóc sơn,xã bắc sơn
128,thành phố hà nội,huyện sóc sơn,xã minh trí
129,thành phố hà nội,huyện sóc sơn,xã hồng kỳ
130,thành phố hà nội,huyện sóc sơn,xã nam sơn
131,thành phố hà nội,huyện sóc sơn,xã trung giã
132,thành phố hà nội,huyện sóc sơn,xã tân hưng
133,thành phố hà nội,huyện sóc sơn,xã minh phú
134,thành phố hà nội,huyện sóc sơn,xã phù linh
135,thành phố hà nội,huyện sóc sơn,xã bắc phú
136,thành phố hà nội,huyện sóc sơn,xã tân minh
137,thành phố hà nội,huyện sóc sơn,xã quang tiến
138,thành phố hà nội,huyện sóc sơn,xã hiền ninh
139,thành phố hà nội,huyện sóc sơn,xã tân dân
140,thành phố hà nội,huyện sóc sơn,xã tiên dược
141,thành phố hà nội,huyện sóc sơn,xã việt long
142,thành phố hà nội,huyện sóc sơn,xã xuân giang
143,thành phố hà nội,huyện sóc sơn,xã mai đình
144,thành phố hà nội,huyện sóc sơn,xã đức hoà
145,thành phố hà nội,huyện sóc sơn,xã thanh xuân
146,thành phố hà nội,huyện sóc sơn,xã đông xuân
147,thành phố hà nội,huyện sóc sơn,xã kim lũ
148,thành phố hà nội,huyện sóc sơn,xã phú cường
149,thành phố hà nội,huyện sóc sơn,xã phú minh
150,thành phố hà nội,huyện sóc sơn,xã phù lỗ
151,thành phố hà nội,huyện sóc sơn,xã xuân thu
152,thành phố hà nội,huyện đông anh,thị trấn đông anh
153,thành phố hà nội,huyện đông anh,xã xuân nộn
154,thành phố hà nội,huyện đông anh,xã thuỵ lâm
155,thành phố hà nội,huyện đông anh,xã bắc hồng
156,thành phố hà nội,huyện đông anh,xã nguyên khê
157,thành phố hà nội,huyện đông anh,xã nam hồng
158,thành phố hà nội,huyện đông anh,xã tiên dương
159,thành phố hà nội,huyện đông anh,xã vân hà
160,thành phố hà nội,huyện đông anh,xã uy nỗ
161,thành phố hà nội,huyện đông anh,xã vân nội
162,thành phố hà nội,huyện đông anh,xã liên hà
163,thành phố hà nội,huyện đông anh,xã việt hùng
164,thành phố hà nội,huyện đông anh,xã kim nỗ
165,thành phố hà nội,huyện đông anh,xã kim chung
166,thành phố hà nội,huyện đông anh,xã dục tú
167,thành phố hà nội,huyện đông anh,xã đại mạch
168,thành phố hà nội,huyện đông anh,xã vĩnh ngọc
169,thành phố hà nội,huyện đông anh,xã cổ loa
170,thành phố hà nội,huyện đông anh,xã hải bối
171,thành phố hà nội,huyện đông anh,xã xuân canh
172,thành phố hà nội,huyện đông anh,xã võng la
173,thành phố hà nội,huyện đông anh,xã tàm xá
174,thành phố hà nội,huyện đông anh,xã mai lâm
175,thành phố hà nội,huyện đông anh,xã đông hội
176,thành phố hà nội,huyện gia lâm,thị trấn yên viên
177,thành phố hà nội,huyện gia lâm,xã yên thường
178,thành phố hà nội,huyện gia lâm,xã yên viên
179,thành phố hà nội,huyện gia lâm,xã ninh hiệp
180,thành phố hà nội,huyện gia lâm,xã đình xuyên
181,thành phố hà nội,huyện gia lâm,xã dương hà
182,thành phố hà nội,huyện gia lâm,xã phù đổng
183,thành phố hà nội,huyện gia lâm,xã trung mầu
184,thành phố hà nội,huyện gia lâm,xã lệ chi
185,thành phố hà nội,huyện gia lâm,xã cổ bi
186,thành phố hà nội,huyện gia lâm,xã đặng xá
187,thành phố hà nội,huyện gia lâm,xã phú thị
188,thành phố hà nội,huyện gia lâm,xã kim sơn
189,thành phố hà nội,huyện gia lâm,thị trấn trâu quỳ
190,thành phố hà nội,huyện gia lâm,xã dương quang
191,thành phố hà nội,huyện gia lâm,xã dương xá
192,thành phố hà nội,huyện gia lâm,xã đông dư
193,thành phố hà nội,huyện gia lâm,xã đa tốn
194,thành phố hà nội,huyện gia lâm,xã kiêu kỵ
195,thành phố hà nội,huyện gia lâm,xã bát tràng
196,thành phố hà nội,huyện gia lâm,xã kim lan
197,thành phố hà nội,huyện gia lâm,xã văn đức
198,thành phố hà nội,quận nam từ liêm,phường cầu diễn
199,thành phố hà nội,quận nam từ liêm,phường xuân phương
200,thành phố hà nội,quận nam từ liêm,phường phương canh
201,thành phố hà nội,quận nam từ liêm,phường mỹ đình 1
202,thành phố hà nội,quận nam từ liêm,phường mỹ đình 2
203,thành phố hà nội,quận nam từ liêm,phường tây mỗ
204,thành phố hà nội,quận nam từ liêm,phường mễ trì
205,thành phố hà nội,quận nam từ liêm,phường phú đô
206,thành phố hà nội,quận nam từ liêm,phường đại mỗ
207,thành phố hà nội,quận nam từ liêm,phường trung văn
208,thành phố hà nội,huyện thanh trì,thị trấn văn điển
209,thành phố hà nội,huyện thanh trì,xã tân triều
210,thành phố hà nội,huyện thanh trì,xã thanh liệt
211,thành phố hà nội,huyện thanh trì,xã tả thanh oai
212,thành phố hà nội,huyện thanh trì,xã hữu hoà
213,thành phố hà nội,huyện thanh trì,xã tam hiệp
214,thành phố hà nội,huyện thanh trì,xã tứ hiệp
215,thành phố hà nội,huyện thanh trì,xã yên mỹ
216,thành phố hà nội,huyện thanh trì,xã vĩnh quỳnh
217,thành phố hà nội,huyện thanh trì,xã ngũ hiệp
218,thành phố hà nội,huyện thanh trì,xã duyên hà
219,thành phố hà nội,huyện thanh trì,xã ngọc hồi
220,thành phố hà nội,huyện thanh trì,xã vạn phúc
221,thành phố hà nội,huyện thanh trì,xã đại áng
222,thành phố hà nội,huyện thanh trì,xã liên ninh
223,thành phố hà nội,huyện thanh trì,xã đông mỹ
224,thành phố hà nội,quận bắc từ liêm,phường thượng cát
225,thành phố hà nội,quận bắc từ liêm,phường liên mạc
226,thành phố hà nội,quận bắc từ liêm,phường đông ngạc
227,thành phố hà nội,quận bắc từ liêm,phường đức thắng
228,thành phố hà nội,quận bắc từ liêm,phường thụy phương
229,thành phố hà nội,quận bắc từ liêm,phường tây tựu
230,thành phố hà nội,quận bắc từ liêm,phường xuân đỉnh
231,thành phố hà nội,quận bắc từ liêm,phường xuân tảo
232,thành phố hà nội,quận bắc từ liêm,phường minh khai
233,thành phố hà nội,quận bắc từ liêm,phường cổ nhuế 1
234,thành phố hà nội,quận bắc từ liêm,phường cổ nhuế 2
235,thành phố hà nội,quận bắc từ liêm,phường phú diễn
