,tinh-tp,quan-huyen,phuong-xa
0,thanh pho ha noi,quan ba dinh,phuong phuc xa
1,thanh pho ha noi,quan ba dinh,phuong truc bach
2,thanh pho ha noi,quan ba dinh,phuong vinh phuc
3,thanh pho ha noi,quan ba dinh,phuong cong vi
4,thanh pho ha noi,quan ba dinh,phuong lieu giai
5,thanh pho ha noi,quan ba dinh,phuong nguyen trung truc
6,thanh pho ha noi,quan ba dinh,phuong quan thanh
7,thanh pho ha noi,quan ba dinh,phuong ngoc ha
8,thanh pho ha noi,quan ba dinh,phuong dien bien
9,thanh pho ha noi,quan ba dinh,phuong doi can
10,thanh pho ha noi,quan ba dinh,phuong ngoc khanh
11,thanh pho ha noi,quan ba dinh,phuong kim ma
12,thanh pho ha noi,quan ba dinh,phuong giang vo
13,thanh pho ha noi,quan ba dinh,phuong thanh cong
14,thanh pho ha noi,quan hoan kiem,phuong phuc tan
15,thanh pho ha noi,quan hoan kiem,phuong dong xuan
16,thanh pho ha noi,quan hoan kiem,phuong hang ma
17,thanh pho ha noi,quan hoan kiem,phuong hang buom
18,thanh pho ha noi,quan hoan kiem,phuong hang dao
19,thanh pho ha noi,quan hoan kiem,phuong hang bo
20,thanh pho ha noi,quan hoan kiem,phuong cua dong
21,thanh pho ha noi,quan hoan kiem,phuong ly thai to
22,thanh pho ha noi,quan hoan kiem,phuong hang bac
23,thanh pho ha noi,quan hoan kiem,phuong hang gai
24,thanh pho ha noi,quan hoan kiem,phuong chuong duong
25,thanh pho ha noi,quan hoan kiem,phuong hang trong
26,thanh pho ha noi,quan hoan kiem,phuong cua nam
27,thanh pho ha noi,quan hoan kiem,phuong hang bong
28,thanh pho ha noi,quan hoan kiem,phuong trang tien
29,thanh pho ha noi,quan hoan kiem,phuong tran hung dao
30,thanh pho ha noi,quan hoan kiem,phuong phan chu trinh
31,thanh pho ha noi,quan hoan kiem,phuong hang bai
32,thanh pho ha noi,quan tay ho,phuong phu thuong
33,thanh pho ha noi,quan tay ho,phuong nhat tan
34,thanh pho ha noi,quan tay ho,phuong tu lien
35,thanh pho ha noi,quan tay ho,phuong quang an
36,thanh pho ha noi,quan tay ho,phuong xuan la
37,thanh pho ha noi,quan tay ho,phuong yen phu
38,thanh pho ha noi,quan tay ho,phuong buoi
39,thanh pho ha noi,quan tay ho,phuong thuy khue
40,thanh pho ha noi,quan long bien,phuong thuong thanh
41,thanh pho ha noi,quan long bien,phuong ngoc thuy
42,thanh pho ha noi,quan long bien,phuong giang bien
43,thanh pho ha noi,quan long bien,phuong duc giang
44,thanh pho ha noi,quan long bien,phuong viet hung
45,thanh pho ha noi,quan long bien,phuong gia thuy
46,thanh pho ha noi,quan long bien,phuong ngoc lam
47,thanh pho ha noi,quan long bien,phuong phuc loi
48,thanh pho ha noi,quan long bien,phuong bo de
49,thanh pho ha noi,quan long bien,phuong sai dong
50,thanh pho ha noi,quan long bien,phuong long bien
51,thanh pho ha noi,quan long bien,phuong thach ban
52,thanh pho ha noi,quan long bien,phuong phuc dong
53,thanh pho ha noi,quan long bien,phuong cu khoi
54,thanh pho ha noi,quan cau giay,phuong nghia do
55,thanh pho ha noi,quan cau giay,phuong nghia tan
56,thanh pho ha noi,quan cau giay,phuong mai dich
57,thanh pho ha noi,quan cau giay,phuong dich vong
58,thanh pho ha noi,quan cau giay,phuong dich vong hau
59,thanh pho ha noi,quan cau giay,phuong quan hoa
60,thanh pho ha noi,quan cau giay,phuong yen hoa
